ListingId,ProductId,ProductIdType,ItemCondition,Price,Quantity,OfferExpeditedShipping,Description,ReferenceId
0102P0SORHX,712392452021,3,11,13.99,1,,"Make meal time a little more stylish while protecting your table with these easy to clean and durable place mats.",CPLM00001
0102P0SOS09,712392452175,3,11,13.99,1,,"Make meal time a little more stylish while protecting your table with these easy to clean and durable place mats.",CPLM00016
0102P0SOTNF,712392452052,3,11,13.99,1,,"Make meal time a little more stylish while protecting your table with these easy to clean and durable place mats.",CPLM00004
0102P0SOTUX,712392452205,3,11,13.99,1,,"Make meal time a little more stylish while protecting your table with these easy to clean and durable place mats.",CPLM00019
0102P0SOUQL,712392452076,3,11,13.99,1,,"Make meal time a little more stylish while protecting your table with these easy to clean and durable place mats.",CPLM00006
0102P0VTTHX,712392456173,3,11,13.99,1,,"Being environmentally conscious isn&apos;t just for spotted owl huggers and granola eaters anymore. Going green has become the trend and Green Dub products help bring the green fad into your home. Made out of a wood fiber composite, Green Dub&apos;s products are recycleable, biodegradable, and have a very natural look, feel and smell. PEFC certified wood flour with German technology is used as raw material. This plant/ flower pot measures 5&quot; and is ideal for small plants, flowers and herbs.",KPLP00001
0102P0VTUK9,712392456180,3,11,13.99,1,,"Being environmentally conscious isn&apos;t just for spotted owl huggers and granola eaters anymore. Going green has become the trend and Green Dub products help bring the green fad into your home. Made out of a wood fiber composite, Green Dub&apos;s products are recycleable, biodegradable, and have a very natural look, feel and smell. PEFC certified wood flour with German technology is used as raw material. This plant/ flower pot measures 5&quot; and is ideal for small plants, flowers and herbs.",KPLP00002
0102P0W9VPR,712392456883,3,11,19.99,1,,"There&apos;s something about a sailboat, maybe the symolizing of freedom, fond memories of the beach or their association with that perfectly pleasant day that adds warmth to any home or office. It comes fully assembled (not a DIY kit) and makes a great gift.",CSBT00001
0102P0W9WLF,712392456890,3,11,15.99,1,,"There&apos;s something about a sailboat, maybe the symolizing of freedom, fond memories of the beach or their association with that perfectly pleasant day that adds warmth to any home or office. It comes fully assembled (not a DIY kit) and makes a great gift.",CSBT00002
0102P0XCF7R,712392457392,3,11,29.99,1,,"Any seasoned party thrower knows that the details can really make or break the shindig. Don&apos;t forget to put out candy and mints for people to chow down on and this 4 bowl serving set is perfect for that.",CSVT00005
0102P0XCH39,712392457378,3,11,25.99,1,,"Any seasoned party thrower knows that the details can really make or break the shindig. Don&apos;t forget to put out candy and mints for people to chow down on and this 3 bowl serving set is perfect for that.",CSVT00003
0102P0XSABR,712392456760,3,11,32.99,1,,"This stainless steel serving tray makes a nice addition to any kitchen or can be brought out to accent a party's d?cor. The top plate is 9"" in diameter and the bottom plate is 11"". Hand wash only.",CSVT00001
0102P0XSCD3,712392458290,3,11,45.99,1,,"Any seasoned party thrower knows that the details can really make or break the shindig. Don&apos;t forget to put out candy and mints for people to chow down on and this 5 - piece serving set is perfect for that.",CSVT00006
0102P0Z35ZL,712392459167,3,11,18.99,1,,"Add a splash of color to any bathroom with this vibrant shower curtain. Measures 71&quot; X 71&quot; and is easy to clean. Easy to snap-on with built-in rings.",CSHC00031
0102P1049EL,712392456197,3,11,12.99,1,,"Being environmentally conscious isn&apos;t just for spotted owl huggers and granola eaters anymore. Going green has become the trend and Green Dub products help bring the green fad into your home. Made out of a wood fiber composite, Green Dub&apos;s products are recycleable, biodegradable, and have a very natural look, feel and smell. PEFC certified wood flour with German technology is used as raw material. This soap dish is ideal for the bathtub or shower and on the kitchen or bathroom counter top. It measures 5&quot; X 3.5&quot; and has a drainage hole to keep your bar of soap from becoming a pile of messy ooze.",KSDH00001
